Pergunta,Resposta
Bom Dia como você está?,"Eu estou bem, e você?"
"Eu estou bem, e você?",Eu também estou.
Eu também estou.,Que bom.
Que bom.,Sim.
Sim.,Olá
Olá,Oi
Oi,Como vai você?
Como vai você?,Eu estou bem.
Eu estou bem.,Que bom
Que bom,Sim.
Sim.,Posso ajudá-lo com alguma coisa?
Posso ajudá-lo com alguma coisa?,"Sim, eu tenho uma pergunta."
"Sim, eu tenho uma pergunta.",Qual é a sua pergunta?
Qual é a sua pergunta?,Eu poderia pedir uma xícara de açúcar?
Eu poderia pedir uma xícara de açúcar?,"Me desculpe, mas eu não tenho nenhum."
"Me desculpe, mas eu não tenho nenhum.",Obrigado de qualquer maneira
Obrigado de qualquer maneira,Sem problemas
Sem problemas,Como vai você?
Como vai você?,"Eu estou bem, e você?"
"Eu estou bem, e você?",Eu também estou bem.
Eu também estou bem.,Isso é bom.
Isso é bom.,Ouviu as notícias?
Ouviu as notícias?,Que boa notícia?
Que boa notícia?,Qual é o seu livro favorito?
Qual é o seu livro favorito?,Eu não sei ler.
Eu não sei ler.,"Então, qual é a sua cor favorita?"
"Então, qual é a sua cor favorita?",Azul
Azul,Quem é você?
Quem é você?,Quem? Quem é senão uma forma seguindo a função de quê
Quem? Quem é senão uma forma seguindo a função de quê,Então o que você é?
Então o que você é?,Um homem em uma máscara.
Um homem em uma máscara.,Eu posso ver isso.
Eu posso ver isso.,"Não é seu poder de observação eu duvido, mas apenas a natureza paradoxal de pedir"
"Não é seu poder de observação eu duvido, mas apenas a natureza paradoxal de pedir","um homem mascarado que é. Mas diga-me, você gosta de música?"
"um homem mascarado que é. Mas diga-me, você gosta de música?",Eu gosto de ver filmes.
Eu gosto de ver filmes.,Que tipo de filme você gosta?
Que tipo de filme você gosta?,Alice no Pais das Maravilhas
Alice no Pais das Maravilhas,Eu gostaria de ser o Chapeleiro Maluco.
Eu gostaria de ser o Chapeleiro Maluco.,Você é totalmente maluco. Mas eu vou te contar um segredo. Todas as melhores pessoas são.
Você é totalmente maluco. Mas eu vou te contar um segredo. Todas as melhores pessoas são.,Eu estou trabalhando em um projeto
Eu estou trabalhando em um projeto,Em que você está trabalhando?
Em que você está trabalhando?,Eu estou fazendo um bolo.
Eu estou fazendo um bolo.,O bolo é uma mentira.
O bolo é uma mentira.,"Não, não é. O bolo é delicioso."
"Não, não é. O bolo é delicioso.",O que mais é delicioso?
O que mais é delicioso?,Nenhuma coisa
Nenhuma coisa,Ou algo
